License Plate,Probability
598104464,0.9999584352624667
579g9,0.049587368435609604
Janakpuri,0.7770393245325392
0TF4yr,0.013259941859394251
LiccL7,0.025960598723539473
MICA451,0.06849566579507661
diccuso],0.07576675176479018
Lacc44750,0.23492217791757994
Cdlaccaizsol,0.05612163546776602
Choa,0.03849836811423302
WLiccA1750,0.14236017466273776
440g,0.08763854950666428
dLacca1750,0.17989987807903354
DL3cCA1750,0.37933003479206123
P34044,0.03755758576213519
UPSYCR0423,0.3219880110072151
DLcCAZ,0.15377488360787517
Mcons,0.14712349755143803
IahcR0Z,0.0028870456862629033
LP34cn0421,0.10243378022242723
"""LjccA17501",0.11068616160116944
8104404,0.8865102228107795
DJccAl750,0.1529222501171972
Itp3ch0423,0.11971005253504081
DLJccA 1750,0.27980264750502876
Jups20n0423,0.028838714835753766
598104484,0.6030180630130076
PSICR0123,0.1026954274407564
981044859,0.6902336368135723
DPECR0E3,0.10059134638660085
18104469],0.29612246789284524
VEALRO 4,0.12641283908480355
9841044650,0.46909426004353033
WPSACRO 423,0.1955520536747919
1L0448501,0.19760955546604944
UP32Ch0423,0.520161916261568
UP32cn0423,0.2763434293178035
IP32ch0433,0.17644260608214649
810446.,0.22969739198429315
LPSHCRO 423],0.04110457309795534
98104484,0.7675937565993444
IPSHCRO 423,0.24139657874307133
WBh0E8,0.022394221188763053
UP3ECRO 123],0.17521554065530615
UP32CR0423,0.269459238118268
@PiZRo*3,0.08768353204162102
69810440,0.7643001755360816
WPCRO48,0.1502756458853628
6981044,0.9011594404088361
R0423,0.25456842223000314
(59810446,0.41352120711720775
59810446,0.4241030189742952
59810448,0.8074964137434228
[5981044,0.892073414872278
[59810044,0.4945450410310742
D598104454,0.40264165776750205
05981044,0.8408640523912242
015981104464,0.3094265621913328
5981044464,0.6784881802844702
LP320i0 14,0.1403548160842374
Uun,0.006313239200060701
65981044464,0.33908560770890545
5981041,0.69079688399612
P32 CRO 423,0.41766989811600963
LP32CR0 423,0.3384371427988284
Gltz,0.008651738055050373
JuP32 CRO 423,0.3342338258172146
1598104464,0.751826060591833
UP3PCR0423,0.3714171882891091
Midd,0.07102453708648682
LP3RCR0423,0.14689808876920027
P3YTCR0423,0.3614087570662831
cCCC,0.2973233461380005
"5981,04481",0.4807066101887181
P3ECR0423],0.17376907990166415
5981044014,0.4924926568616951
59810441,0.8694587683362123
598104414,0.9271458257183481
WP3PCRO423,0.12806382774478337
DPSHCR0423,0.16670232298696122
[598.10448,0.425063760387571
[59810446,0.6853441100074676
uPSECRO 423,0.2171232263535525
JuP32CR0423,0.20000052786953146
DP3ECR0423,0.3407572816870871
78104464,0.6134983735947845
UP3PICR0423,0.29169281486389126
LIccuZ5OL,0.09477677252698062
UP3ZCR0423],0.4399219047804047
ninoongsm,0.026144346075540673
UP3ZCR0423,0.6086937505600325
Olaccat,0.17837158629212138
UP3ZCR0+23,0.28234289589669337
JP3PICR0423,0.14805463912784705
Loljccalzso,0.10948432675832077
UP3ZICR0423,0.16934071262005343
LLjcchi750,0.21144247956237328
JP3HICR0423],0.08153029923855544
[QLcc75d,0.07776985434637575
UP3HCR0423,0.25822876366889397
